console,developer,genre,publisher,release,units sold,title,,
Xbox360,EA Digital Illusions CE,,,,"1,050,000",Battlefield: Bad Company 2,,
Xbox360,Harmonix,,,,"1,020,000",Rock Band 2,,
Xbox360,Team Ninja,,,,"1,000,000",Dead or Alive 4,,
Xbox360,Ensemble Studios,,,,"1,000,000",Halo Wars,,
Xbox360,Turtle Rock Studios/Valve Corporation,,,,"1,000,000",Left 4 Dead,,
Xbox360,Team Ninja,,,,"1,000,000",Ninja Gaiden II,,
Xbox360,Valve Corporation,,,,"1,000,000",The Orange Box,,
Xbox360,Red Storm Entertainment,,,,"1,000,000",Tom Clancy's Ghost Recon Advanced Warfighter 2,,
Xbox360,Rare,,,,"1,000,000",Viva Piñata,,
,,,,,,,,
Xbox One,343 Industries,,Microsoft Studios,,"5,000,000",Halo 5: Guardians,,
Xbox One,PUBG Corporation,,PUBG Corporation,,"4,000,000",PlayerUnknown's Battlegrounds,,
Xbox One,Playground Games,,Microsoft Studios,,"2,500,000",Forza Horizon 3,,
Xbox One,Capcom Vancouver,,Microsoft Studios,,"2,500,000",Dead Rising 3,,
Xbox One,Turn 10 Studios,,Microsoft Studios,,"1,000,000",Forza Motorsport 6,,
Xbox One,Turn 10 Studios,,Microsoft Studios,,"1,000,000",Forza Motorsport 5,,
Xbox One,The Coalition,,Microsoft Studios,,"1,000,000",Gears of War: Ultimate Edition,,
Xbox One,Crystal Dynamics,,Microsoft Studios,,"1,000,000",Rise of the Tomb Raider,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
